Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";590;100;98840;99890;1150;2;2;5;DOGAL;False;0;0;False;MegaWin;Normal;0;"S0x9=20TL | S1x8=30TL"
"0. Normal Oyun";591;100;99890;99790;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";592;100;99790;99690;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";593;100;99690;99590;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";594;100;99590;99510;20;1;1;0;-;False;0;0;False;Normal;Normal;1;"S0x8=20TL"
"0. Normal Oyun";595;100;99510;99410;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";596;100;99410;99310;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";597;100;99310;99210;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";598;100;99210;99180;70;0;0;0;-;True;70;0;False;Normal;Bonus;0;"-"
"0. Normal Oyun";599;100;99180;99080;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";600;100;99080;98980;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";601;100;98980;98880;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";602;100;98880;98780;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";603;100;98780;98680;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";604;100;98680;98580;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";605;100;98580;98480;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";606;100;98480;98380;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";607;100;98380;98280;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";608;100;98280;98180;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";609;100;98180;98080;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";610;100;98080;97980;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";611;100;97980;97910;30;1;1;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL"
"0. Normal Oyun";612;100;97910;97850;40;1;1;0;-;False;0;0;False;Normal;Normal;0;"S2x9=40TL"
"0. Normal Oyun";613;100;97850;97750;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";614;100;97750;97690;40;1;1;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL"
"0. Normal Oyun";615;100;97690;97680;90;2;2;0;-;False;0;0;False;Normal;Normal;0;"S2x9=40TL | S2x17=50TL"
"0. Normal Oyun";616;100;97680;97580;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";617;100;97580;97520;40;1;1;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL"
"0. Normal Oyun";618;100;97520;97420;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";619;100;97420;97420;100;0;0;0;-;True;100;0;False;Normal;Bonus;0;"-"
"0. Normal Oyun";620;100;97420;97320;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";621;100;97320;97220;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";622;100;97220;97460;340;0;0;0;-;True;340;0;False;BigWin;Bonus;0;"-"
"0. Normal Oyun";623;100;97460;97360;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";624;100;97360;97400;140;3;3;0;-;False;0;0;False;Normal;Normal;0;"S0x9=20TL | S1x10=60TL | S4x8=60TL"
"0. Normal Oyun";625;100;97400;99300;2000;1;1;5;DOGAL;False;0;0;False;EpicWin;Normal;1;"S5x8=80TL"
